Plot,Spp,Stat,Mass_plot,Mass_m2,NarrowGF,BroadGF,NarGFStat,BroGFStat
1,MOSSPP,A,114.12,518.7272727,Moss,Bryophyte,MossA,BryophyteA
1,VACVIT,A,12.24,55.63636364,Evergreen,Shrub,EvergreenA,ShrubA
1,LEDPAL,A,17.64,80.18181818,Evergreen,Shrub,EvergreenA,ShrubA
1,ERIVAG,A,4.34,19.72727273,Graminoid,Graminoid,GraminoidA,GraminoidA
1,LITTER,D,20.44,92.90909091,Litter,Litter,LitterD,LitterD
1,ARCALP,A,1.24,5.636363636,Deciduous,Shrub,DeciduousA,ShrubA
1,CARSPP,D,4.64,21.09090909,Graminoid,Graminoid,GraminoidD,GraminoidD
1,GRAMSP,A,0.04,0.181818182,Graminoid,Graminoid,GraminoidA,GraminoidA
1,CARSPP,A,1.34,6.090909091,Graminoid,Graminoid,GraminoidA,GraminoidA
1,VACULI,A,1.78,8.090909091,Deciduous,Shrub,DeciduousA,ShrubA
1,EMPNIG,A,0.78,3.545454545,Evergreen,Shrub,EvergreenA,ShrubA
1,FORBSP,A,0.38,1.727272727,Forb,Forb,ForbA,ForbA
1,BETNAN,A,3.04,13.81818182,Deciduous,Shrub,DeciduousA,ShrubA
1,LEDPAL,D,2.74,12.45454545,Evergreen,Shrub,EvergreenD,ShrubD
1,LICHEN,A,17.04,77.45454545,Lichen,Bryophyte,LichenA,BryophyteA
1,BETNAN,D,0.74,3.363636364,Deciduous,Shrub,DeciduousD,ShrubD
1,GRAMSP,D,0.44,2,Graminoid,Graminoid,GraminoidD,GraminoidD
1,ERIVAG,D,14.14,64.27272727,Graminoid,Graminoid,GraminoidD,GraminoidD
2,VACVIT,A,13.14,59.72727273,Evergreen,Shrub,EvergreenA,ShrubA
2,ERIVAG,D,78.48,356.7272727,Graminoid,Graminoid,GraminoidD,GraminoidD
2,BETNAN,A,3.24,14.72727273,Deciduous,Shrub,DeciduousA,ShrubA
2,CARSPP,A,0.24,1.090909091,Graminoid,Graminoid,GraminoidA,GraminoidA
2,CARSPP,D,1.74,7.909090909,Graminoid,Graminoid,GraminoidD,GraminoidD
2,LITTER,D,11.64,52.90909091,Litter,Litter,LitterD,LitterD
2,LEDPAL,A,36.14,164.2727273,Evergreen,Shrub,EvergreenA,ShrubA
2,ERIVAG,A,17.84,81.09090909,Graminoid,Graminoid,GraminoidA,GraminoidA
2,LEDPAL,D,1.44,6.545454545,Evergreen,Shrub,EvergreenD,ShrubD
2,VACULI,A,8.84,40.18181818,Deciduous,Shrub,DeciduousA,ShrubA
2,LEDPAL,D,1.54,7,Evergreen,Shrub,EvergreenD,ShrubD
2,LICHEN,A,8.54,38.81818182,Lichen,Bryophyte,LichenA,BryophyteA
2,FORBSP,A,0.08,0.363636364,Forb,Forb,ForbA,ForbA
2,VACVIT,D,0.12,0.545454545,Evergreen,Shrub,EvergreenD,ShrubD
2,VACULI,D,0.22,1,Deciduous,Shrub,DeciduousD,ShrubD
2,EMPNIG,A,0.22,1,Evergreen,Shrub,EvergreenA,ShrubA
2,MOSSPP,A,99.02,450.0909091,Moss,Bryophyte,MossA,BryophyteA
3,MOSSPP,A,87.38,397.1818182,Moss,Bryophyte,MossA,BryophyteA
3,LICHEN,A,11.74,53.36363636,Lichen,Bryophyte,LichenA,BryophyteA
3,LEDPAL,A,10.24,46.54545455,Evergreen,Shrub,EvergreenA,ShrubA
3,VACVIT,A,10.24,46.54545455,Evergreen,Shrub,EvergreenA,ShrubA
3,EMPNIG,A,10.84,49.27272727,Evergreen,Shrub,EvergreenA,ShrubA
3,ERIVAG,A,8.54,38.81818182,Graminoid,Graminoid,GraminoidA,GraminoidA
3,LEDPAL,D,3.84,17.45454545,Evergreen,Shrub,EvergreenD,ShrubD
3,VACULI,A,4,18.18181818,Deciduous,Shrub,DeciduousA,ShrubA
3,VACVIT,D,0.02,0.090909091,Evergreen,Shrub,EvergreenD,ShrubD
3,FORBSP,A,0.08,0.363636364,Forb,Forb,ForbA,ForbA
3,EMPNIG,D,2.42,11,Evergreen,Shrub,EvergreenD,ShrubD
3,CARSPP,D,0.74,3.363636364,Graminoid,Graminoid,GraminoidD,GraminoidD
3,LITTER,D,54.64,248.3636364,Litter,Litter,LitterD,LitterD
3,CARSPP,A,0.04,0.181818182,Graminoid,Graminoid,GraminoidA,GraminoidA
3,BETNAN,A,4.64,21.09090909,Deciduous,Shrub,DeciduousA,ShrubA
3,ERIVAG,D,47.74,217,Graminoid,Graminoid,GraminoidD,GraminoidD
